FieldID,Description
f.24439.0.0,Median absolute head motion from rfMRI
f.24440.0.0,90th percentile of absolute head motion from rfMRI
f.24441.0.0,Mean relative head motion from rfMRI
f.24442.0.0,Median relative head motion from rfMRI
f.24443.0.0,90th percentile of relative head motion from rfMRI
f.24444.0.0,Mean absolute head motion from tfMRI
f.24445.0.0,Median absolute head motion from tfMRI
f.24446.0.0,90th percentile of absolute head motion from tfMRI
f.24447.0.0,Mean relative head motion from tfMRI
f.24448.0.0,Median relative head motion from tfMRI
f.24449.0.0,90th percentile of relative head motion from tfMRI
f.24450.0.0,Mean absolute head motion from dMRI
f.24451.0.0,Median absolute head motion from dMRI
f.24452.0.0,90th percentile of absolute head motion from dMRI
f.24453.0.0,Mean relative head motion from dMRI
f.24454.0.0,Median relative head motion from dMRI
f.24455.0.0,90th percentile of relative head motion from dMRI
f.24456.0.0,Number of slices that Eddy estimated to be outliers in dMRI data
f.24457.0.0,Mean of mean (across space) in-plane displacement from rfMRI
f.24458.0.0,Median of mean (across space) in-plane displacement from rfMRI
f.24459.0.0,90th percentile of mean (across space) in-plane displacement from rfMRI
f.24460.0.0,Mean of mean (across space) of Z displacement from rfMRI
f.24461.0.0,Median of mean (across space) of Z displacement from rfMRI
f.24462.0.0,90th percentile of mean (across space) of Z displacement from rfMRI
f.24463.0.0,Median of mean (across time) in-plane displacement from rfMRI
f.24464.0.0,90th percentile of mean (across time) in-plane displacement from rfMRI
f.24465.0.0,Median of mean (across time) of Z displacement from rfMRI
f.24466.0.0,90th percentile of mean (across time) of Z displacement from rfMRI
f.24467.0.0,Median magnetic susceptibility in thalamus (left)
f.24468.0.0,Median magnetic susceptibility in thalamus (right)
f.24469.0.0,Median magnetic susceptibility in caudate (left)
f.24470.0.0,Median magnetic susceptibility in caudate (right)
f.24471.0.0,Median magnetic susceptibility in putamen (left)
f.24472.0.0,Median magnetic susceptibility in putamen (right)
f.24473.0.0,Median magnetic susceptibility in pallidum (left)
f.24474.0.0,Median magnetic susceptibility in pallidum (right)
f.24475.0.0,Median magnetic susceptibility in hippocampus (left)
f.24476.0.0,Median magnetic susceptibility in hippocampus (right)
f.24477.0.0,Median magnetic susceptibility in amygdala (left)
f.24478.0.0,Median magnetic susceptibility in amygdala (right)
f.24479.0.0,Median magnetic susceptibility in accumbens (left)
f.24480.0.0,Median magnetic susceptibility in accumbens (right)
f.24481.0.0,Median magnetic susceptibility in substantia nigra (left)
f.24482.0.0,Median magnetic susceptibility in substantia nigra (right)
f.24483.0.0,Median T2star in substantia nigra (left)
f.24484.0.0,Median T2star in substantia nigra (right)
f.24485.0.0,Total volume of peri-ventricular white matter hyperintensities
f.24486.0.0,Total volume of deep white matter hyperintensities
f.24500.0.0,"Greenspace percentage, buffer 1000m"
f.24501.0.0,"Domestic garden percentage, buffer 1000m"
f.24502.0.0,"Water percentage, buffer 1000m"
f.24503.0.0,"Greenspace percentage, buffer 300m"
f.24504.0.0,"Domestic garden percentage, buffer 300m"
f.24505.0.0,"Water percentage, buffer 300m"
f.24506.0.0,"Natural environment percentage, buffer 1000m"
f.24507.0.0,"Natural environment percentage, buffer 300m"
f.24508.0.0,Distance (Euclidean) to coast
f.24600.0.0,Device ID for cardiac monitor
f.24601.0.0,Starting timestamp for cardiac monitoring
f.24602.0.0,Calculated Duration
f.24603.0.0,Total Analysable Time
f.24604.0.0,Longest Continuous Analysable Period
f.24605.0.0,Wear time for cardiac monitor
f.24606.0.0,Heart Rate - Maximum
f.24607.0.0,Heart Rate - Minimum
f.24608.0.0,Heart Rate - Average
f.24609.0.0,AFib - First Occurrence Timestamp
f.24610.0.0,AFib - Maximum Heart Rate
f.24611.0.0,AFib - Minimum Heart Rate
f.24612.0.0,AFib - Duration of the Longest Episode
f.24613.0.0,AFib - Burden
f.24614.0.0,AFib - Total Episode Count
f.24615.0.0,AFib - Total Duration
f.24616.0.0,AFlut - First Occurrence Timestamp
f.24617.0.0,AFlut - Maximum Heart Rate
f.24618.0.0,AFlut - Minimum Heart Rate
f.24619.0.0,AFlut - Duration of the Longest Episode
f.24620.0.0,AFlut - Burden
f.24621.0.0,AFlut - Total Episode Count
f.24622.0.0,AFlut - Total Duration
f.24623.0.0,SVT - Total Episode Count
f.24624.0.0,SVT - First Occurrence Timestamp
f.24625.0.0,SVT - Maximum Heart Rate
f.24626.0.0,SVT - Longest Episode Duration
f.24627.0.0,SVT - Longest Episode Beat Counts
f.24628.0.0,Pauses - Total episode count
f.24629.0.0,Pauses - First Occurrence Timestamp
f.24630.0.0,Pauses - Longest Episode Duration
f.24631.0.0,VF - Total Episode Count
f.24632.0.0,VF - Longest Episode Duration
f.24633.0.0,VT - Total Episode Count
f.24634.0.0,VT - Longest Episode Duration
f.24635.0.0,IVR - Total Episode Count
f.24636.0.0,IVR - Longest Episode Duration
f.24637.0.0,AV Block 1 - Presence
f.24638.0.0,AV Block 1 - Longest PQ interval
f.24639.0.0,AV Block 2 - Total Count
f.24640.0.0,AV Block 2 - Minimum Heart Rate
f.24641.0.0,AV Block 2 - First Occurrence Timestamp
f.24642.0.0,AV Block 2 - Longest RR
f.24643.0.0,AV Block 3 - Total Count
f.24644.0.0,AV Block 3 - Minimum Heart Rate
f.24645.0.0,AV Block 3 - First Occurrence Timestamp
f.24646.0.0,AV Block 3 - Longest RR
f.24647.0.0,Isolated VE - Total Count
f.24648.0.0,Isolated VE - Percentage
f.24649.0.0,Isolated SVE - Total Count
f.24650.0.0,Isolated SVE - Percentage
f.24651.0.0,VE Couplets - Total Count
f.24652.0.0,VE Couplets - Percentage
f.24653.0.0,SVE Couplets - Total Count
f.24654.0.0,SVE Couplets - Percentage
f.24655.0.0,VE Triplets - Total Count
f.24656.0.0,VE Triplets - Percentage
f.24657.0.0,SVE Triplets - Total Count
f.24658.0.0,SVE Triplets - Percentage
f.24659.0.0,Bigeminy - Presence
f.24660.0.0,Trigeminy - Presence
f.24661.0.0,Summary analysis data (result file csv)
f.24662.0.0,Raw ECG data from monitor (result file edf)
f.24663.0.0,Human-readable analysis report (result file pdf)
f.24664.0.0,Hourly summary and QT (result file xml)
f.24665.0.0,Episodic data for specific arrhythmia (result file xml)
f.24700.0.0,Device ID for cardiac monitor
f.24701.0.0,Start date for cardiac monitoring
f.24702.0.0,Wear time for cardiac monitor
f.24703.0.0,Analysable Time
f.24704.0.0,Heart rate - Maximum
f.24705.0.0,Heart rate - Minimum
f.24706.0.0,Heart rate - Average
f.24707.0.0,AFib - Burden
f.24708.0.0,AFib - Maximum Heart Rate
f.24709.0.0,AFib - Minimum Heart Rate
f.24710.0.0,AFib - First Occurrence
f.24711.0.0,VT - Total Episode Count
f.24712.0.0,VT - Maximum Heart Rate
f.24713.0.0,VT - Longest Episode Duration
f.24714.0.0,VT - Longest Episode Beat Count
f.24715.0.0,VT - First Occurrence
f.24716.0.0,SVT - Total Episode Count
f.24717.0.0,SVT - Maximum Heart Rate
f.24718.0.0,SVT - Longest Episode Duration
f.24719.0.0,SVT - Longest Episode Beat Count
f.24720.0.0,SVT - First Occurrence
f.24721.0.0,VF - Total Episode Count
f.24722.0.0,VF - Longest Episode Duration
f.24723.0.0,VF - First Occurrence
f.24724.0.0,Pause - Total Count
f.24725.0.0,Pause - First Occurrence
f.24726.0.0,Pause - Longest Episode Duration
f.24727.0.0,AV Block - Total Count
f.24728.0.0,AV Block - Minimum Heart Rate
f.24729.0.0,AV Block - First Occurrence
f.24730.0.0,Bigeminy - Total Duration
f.24731.0.0,Trigeminy - Total Duration
f.24732.0.0,Isolated SVE - Total Count
f.24733.0.0,Isolated SVE - Percentage
f.24734.0.0,SVE Couplets - Total Count
f.24735.0.0,SVE Couplets - Percentage
f.24736.0.0,SVE Triplets - Total Count
f.24737.0.0,SVE Triplets - Percentage
f.24738.0.0,Isolated VE - Total Count
f.24739.0.0,Isolated VE - Percentage
f.24740.0.0,VE Couplets - Total Count
f.24741.0.0,VE Couplets - Percentage
f.24742.0.0,VE Triplets - Total Count
f.24743.0.0,VE Triplets - Percentage
f.25000.0.0,Volumetric scaling from T1 head image to standard space
f.25001.0.0,Volume of peripheral cortical grey matter (normalised for head size)
f.25002.0.0,Volume of peripheral cortical grey matter
f.25003.0.0,Volume of ventricular cerebrospinal fluid (normalised for head size)
f.25004.0.0,Volume of ventricular cerebrospinal fluid
f.25005.0.0,Volume of grey matter (normalised for head size)
f.25006.0.0,Volume of grey matter
f.25007.0.0,Volume of white matter (normalised for head size)
f.25008.0.0,Volume of white matter
f.25009.0.0,"Volume of brain, grey+white matter (normalised for head size)"
f.25010.0.0,"Volume of brain, grey+white matter"
f.25011.0.0,Volume of thalamus (left)
f.25012.0.0,Volume of thalamus (right)
f.25013.0.0,Volume of caudate (left)
f.25014.0.0,Volume of caudate (right)
f.25015.0.0,Volume of putamen (left)
f.25016.0.0,Volume of putamen (right)
f.25017.0.0,Volume of pallidum (left)
f.25018.0.0,Volume of pallidum (right)
f.25019.0.0,Volume of hippocampus (left)
f.25020.0.0,Volume of hippocampus (right)
f.25021.0.0,Volume of amygdala (left)
f.25022.0.0,Volume of amygdala (right)
f.25023.0.0,Volume of accumbens (left)
f.25024.0.0,Volume of accumbens (right)
f.25025.0.0,Volume of brain stem + 4th ventricle
f.25026.0.0,Median T2star in thalamus (left)
f.25027.0.0,Median T2star in thalamus (right)
f.25028.0.0,Median T2star in caudate (left)
f.25029.0.0,Median T2star in caudate (right)
f.25030.0.0,Median T2star in putamen (left)
f.25031.0.0,Median T2star in putamen (right)
f.25032.0.0,Median T2star in pallidum (left)
f.25033.0.0,Median T2star in pallidum (right)
f.25034.0.0,Median T2star in hippocampus (left)
f.25035.0.0,Median T2star in hippocampus (right)
f.25036.0.0,Median T2star in amygdala (left)
f.25037.0.0,Median T2star in amygdala (right)
f.25038.0.0,Median T2star in accumbens (left)
f.25039.0.0,Median T2star in accumbens (right)
f.25040.0.0,Median BOLD effect (in group-defined mask) for shapes activation
f.25042.0.0,Median z-statistic (in group-defined mask) for shapes activation
f.25044.0.0,Median BOLD effect (in group-defined mask) for faces activation
f.25046.0.0,Median z-statistic (in group-defined mask) for faces activation
f.25048.0.0,Median BOLD effect (in group-defined mask) for faces-shapes contrast
f.25050.0.0,Median z-statistic (in group-defined mask) for faces-shapes contrast
f.25052.0.0,Median BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast
f.25054.0.0,Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast
f.25056.0.0,Mean FA in middle cerebellar peduncle on FA skeleton
f.25057.0.0,Mean FA in pontine crossing tract on FA skeleton
f.25058.0.0,Mean FA in genu of corpus callosum on FA skeleton
f.25059.0.0,Mean FA in body of corpus callosum on FA skeleton
f.25060.0.0,Mean FA in splenium of corpus callosum on FA skeleton
f.25061.0.0,Mean FA in fornix on FA skeleton
f.25062.0.0,Mean FA in corticospinal tract on FA skeleton (right)
f.25063.0.0,Mean FA in corticospinal tract on FA skeleton (left)
f.25064.0.0,Mean FA in medial lemniscus on FA skeleton (right)
f.25065.0.0,Mean FA in medial lemniscus on FA skeleton (left)
f.25066.0.0,Mean FA in inferior cerebellar peduncle on FA skeleton (right)
f.25067.0.0,Mean FA in inferior cerebellar peduncle on FA skeleton (left)
f.25068.0.0,Mean FA in superior cerebellar peduncle on FA skeleton (right)
f.25069.0.0,Mean FA in superior cerebellar peduncle on FA skeleton (left)
f.25070.0.0,Mean FA in cerebral peduncle on FA skeleton (right)
f.25071.0.0,Mean FA in cerebral peduncle on FA skeleton (left)
f.25072.0.0,Mean FA in anterior limb of internal capsule on FA skeleton (right)
f.25073.0.0,Mean FA in anterior limb of internal capsule on FA skeleton (left)
f.25074.0.0,Mean FA in posterior limb of internal capsule on FA skeleton (right)
f.25075.0.0,Mean FA in posterior limb of internal capsule on FA skeleton (left)
f.25076.0.0,Mean FA in retrolenticular part of internal capsule on FA skeleton (right)
f.25077.0.0,Mean FA in retrolenticular part of internal capsule on FA skeleton (left)
f.25078.0.0,Mean FA in anterior corona radiata on FA skeleton (right)
f.25079.0.0,Mean FA in anterior corona radiata on FA skeleton (left)
f.25080.0.0,Mean FA in superior corona radiata on FA skeleton (right)
f.25081.0.0,Mean FA in superior corona radiata on FA skeleton (left)
f.25082.0.0,Mean FA in posterior corona radiata on FA skeleton (right)
f.25083.0.0,Mean FA in posterior corona radiata on FA skeleton (left)
f.25084.0.0,Mean FA in posterior thalamic radiation on FA skeleton (right)
f.25085.0.0,Mean FA in posterior thalamic radiation on FA skeleton (left)
f.25086.0.0,Mean FA in sagittal stratum on FA skeleton (right)
f.25087.0.0,Mean FA in sagittal stratum on FA skeleton (left)
f.25088.0.0,Mean FA in external capsule on FA skeleton (right)
f.25089.0.0,Mean FA in external capsule on FA skeleton (left)
f.25090.0.0,Mean FA in cingulum cingulate gyrus on FA skeleton (right)
f.25091.0.0,Mean FA in cingulum cingulate gyrus on FA skeleton (left)
f.25092.0.0,Mean FA in cingulum hippocampus on FA skeleton (right)
f.25093.0.0,Mean FA in cingulum hippocampus on FA skeleton (left)
f.25094.0.0,Mean FA in fornix cres+stria terminalis on FA skeleton (right)
f.25095.0.0,Mean FA in fornix cres+stria terminalis on FA skeleton (left)
f.25096.0.0,Mean FA in superior longitudinal fasciculus on FA skeleton (right)
f.25097.0.0,Mean FA in superior longitudinal fasciculus on FA skeleton (left)
f.25098.0.0,Mean FA in superior fronto-occipital fasciculus on FA skeleton (right)
f.25099.0.0,Mean FA in superior fronto-occipital fasciculus on FA skeleton (left)
f.25100.0.0,Mean FA in uncinate fasciculus on FA skeleton (right)
f.25101.0.0,Mean FA in uncinate fasciculus on FA skeleton (left)
f.25102.0.0,Mean FA in tapetum on FA skeleton (right)
f.25103.0.0,Mean FA in tapetum on FA skeleton (left)
f.25104.0.0,Mean MD in middle cerebellar peduncle on FA skeleton
f.25105.0.0,Mean MD in pontine crossing tract on FA skeleton
f.25106.0.0,Mean MD in genu of corpus callosum on FA skeleton
f.25107.0.0,Mean MD in body of corpus callosum on FA skeleton
f.25108.0.0,Mean MD in splenium of corpus callosum on FA skeleton
f.25109.0.0,Mean MD in fornix on FA skeleton
f.25110.0.0,Mean MD in corticospinal tract on FA skeleton (right)
f.25111.0.0,Mean MD in corticospinal tract on FA skeleton (left)
f.25112.0.0,Mean MD in medial lemniscus on FA skeleton (right)
f.25113.0.0,Mean MD in medial lemniscus on FA skeleton (left)
f.25114.0.0,Mean MD in inferior cerebellar peduncle on FA skeleton (right)
f.25115.0.0,Mean MD in inferior cerebellar peduncle on FA skeleton (left)
f.25116.0.0,Mean MD in superior cerebellar peduncle on FA skeleton (right)
f.25117.0.0,Mean MD in superior cerebellar peduncle on FA skeleton (left)
f.25118.0.0,Mean MD in cerebral peduncle on FA skeleton (right)
f.25119.0.0,Mean MD in cerebral peduncle on FA skeleton (left)
f.25120.0.0,Mean MD in anterior limb of internal capsule on FA skeleton (right)
f.25121.0.0,Mean MD in anterior limb of internal capsule on FA skeleton (left)
f.25122.0.0,Mean MD in posterior limb of internal capsule on FA skeleton (right)
f.25123.0.0,Mean MD in posterior limb of internal capsule on FA skeleton (left)
f.25124.0.0,Mean MD in retrolenticular part of internal capsule on FA skeleton (right)
f.25125.0.0,Mean MD in retrolenticular part of internal capsule on FA skeleton (left)
f.25126.0.0,Mean MD in anterior corona radiata on FA skeleton (right)
f.25127.0.0,Mean MD in anterior corona radiata on FA skeleton (left)
f.25128.0.0,Mean MD in superior corona radiata on FA skeleton (right)
f.25129.0.0,Mean MD in superior corona radiata on FA skeleton (left)
f.25130.0.0,Mean MD in posterior corona radiata on FA skeleton (right)
f.25131.0.0,Mean MD in posterior corona radiata on FA skeleton (left)
f.25132.0.0,Mean MD in posterior thalamic radiation on FA skeleton (right)
f.25133.0.0,Mean MD in posterior thalamic radiation on FA skeleton (left)
f.25134.0.0,Mean MD in sagittal stratum on FA skeleton (right)
f.25135.0.0,Mean MD in sagittal stratum on FA skeleton (left)
f.25136.0.0,Mean MD in external capsule on FA skeleton (right)
f.25137.0.0,Mean MD in external capsule on FA skeleton (left)
f.25138.0.0,Mean MD in cingulum cingulate gyrus on FA skeleton (right)
f.25139.0.0,Mean MD in cingulum cingulate gyrus on FA skeleton (left)
f.25140.0.0,Mean MD in cingulum hippocampus on FA skeleton (right)
f.25141.0.0,Mean MD in cingulum hippocampus on FA skeleton (left)
f.25142.0.0,Mean MD in fornix cres+stria terminalis on FA skeleton (right)
f.25143.0.0,Mean MD in fornix cres+stria terminalis on FA skeleton (left)
f.25144.0.0,Mean MD in superior longitudinal fasciculus on FA skeleton (right)
f.25145.0.0,Mean MD in superior longitudinal fasciculus on FA skeleton (left)
f.25146.0.0,Mean MD in superior fronto-occipital fasciculus on FA skeleton (right)
f.25147.0.0,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left)
f.25148.0.0,Mean MD in uncinate fasciculus on FA skeleton (right)
f.25149.0.0,Mean MD in uncinate fasciculus on FA skeleton (left)
f.25150.0.0,Mean MD in tapetum on FA skeleton (right)
f.25151.0.0,Mean MD in tapetum on FA skeleton (left)
f.25152.0.0,Mean MO in middle cerebellar peduncle on FA skeleton
f.25153.0.0,Mean MO in pontine crossing tract on FA skeleton
f.25154.0.0,Mean MO in genu of corpus callosum on FA skeleton
f.25155.0.0,Mean MO in body of corpus callosum on FA skeleton
f.25156.0.0,Mean MO in splenium of corpus callosum on FA skeleton
f.25157.0.0,Mean MO in fornix on FA skeleton
f.25158.0.0,Mean MO in corticospinal tract on FA skeleton (right)
f.25159.0.0,Mean MO in corticospinal tract on FA skeleton (left)
f.25160.0.0,Mean MO in medial lemniscus on FA skeleton (right)
f.25161.0.0,Mean MO in medial lemniscus on FA skeleton (left)
f.25162.0.0,Mean MO in inferior cerebellar peduncle on FA skeleton (right)
f.25163.0.0,Mean MO in inferior cerebellar peduncle on FA skeleton (left)
f.25164.0.0,Mean MO in superior cerebellar peduncle on FA skeleton (right)
f.25165.0.0,Mean MO in superior cerebellar peduncle on FA skeleton (left)
f.25166.0.0,Mean MO in cerebral peduncle on FA skeleton (right)
f.25167.0.0,Mean MO in cerebral peduncle on FA skeleton (left)
f.25168.0.0,Mean MO in anterior limb of internal capsule on FA skeleton (right)
f.25169.0.0,Mean MO in anterior limb of internal capsule on FA skeleton (left)
f.25170.0.0,Mean MO in posterior limb of internal capsule on FA skeleton (right)
f.25171.0.0,Mean MO in posterior limb of internal capsule on FA skeleton (left)
f.25172.0.0,Mean MO in retrolenticular part of internal capsule on FA skeleton (right)
f.25173.0.0,Mean MO in retrolenticular part of internal capsule on FA skeleton (left)
f.25174.0.0,Mean MO in anterior corona radiata on FA skeleton (right)
f.25175.0.0,Mean MO in anterior corona radiata on FA skeleton (left)
f.25176.0.0,Mean MO in superior corona radiata on FA skeleton (right)
f.25177.0.0,Mean MO in superior corona radiata on FA skeleton (left)
f.25178.0.0,Mean MO in posterior corona radiata on FA skeleton (right)
f.25179.0.0,Mean MO in posterior corona radiata on FA skeleton (left)
f.25180.0.0,Mean MO in posterior thalamic radiation on FA skeleton (right)
f.25181.0.0,Mean MO in posterior thalamic radiation on FA skeleton (left)
f.25182.0.0,Mean MO in sagittal stratum on FA skeleton (right)
f.25183.0.0,Mean MO in sagittal stratum on FA skeleton (left)
f.25184.0.0,Mean MO in external capsule on FA skeleton (right)
f.25185.0.0,Mean MO in external capsule on FA skeleton (left)
f.25186.0.0,Mean MO in cingulum cingulate gyrus on FA skeleton (right)
f.25187.0.0,Mean MO in cingulum cingulate gyrus on FA skeleton (left)
f.25188.0.0,Mean MO in cingulum hippocampus on FA skeleton (right)
f.25189.0.0,Mean MO in cingulum hippocampus on FA skeleton (left)
f.25190.0.0,Mean MO in fornix cres+stria terminalis on FA skeleton (right)
f.25191.0.0,Mean MO in fornix cres+stria terminalis on FA skeleton (left)
f.25192.0.0,Mean MO in superior longitudinal fasciculus on FA skeleton (right)
f.25193.0.0,Mean MO in superior longitudinal fasciculus on FA skeleton (left)
f.25194.0.0,Mean MO in superior fronto-occipital fasciculus on FA skeleton (right)
f.25195.0.0,Mean MO in superior fronto-occipital fasciculus on FA skeleton (left)
f.25196.0.0,Mean MO in uncinate fasciculus on FA skeleton (right)
f.25197.0.0,Mean MO in uncinate fasciculus on FA skeleton (left)
f.25198.0.0,Mean MO in tapetum on FA skeleton (right)
f.25199.0.0,Mean MO in tapetum on FA skeleton (left)
f.25200.0.0,Mean L1 in middle cerebellar peduncle on FA skeleton
f.25201.0.0,Mean L1 in pontine crossing tract on FA skeleton
f.25202.0.0,Mean L1 in genu of corpus callosum on FA skeleton
f.25203.0.0,Mean L1 in body of corpus callosum on FA skeleton
f.25204.0.0,Mean L1 in splenium of corpus callosum on FA skeleton
f.25205.0.0,Mean L1 in fornix on FA skeleton
f.25206.0.0,Mean L1 in corticospinal tract on FA skeleton (right)
f.25207.0.0,Mean L1 in corticospinal tract on FA skeleton (left)
f.25208.0.0,Mean L1 in medial lemniscus on FA skeleton (right)
f.25209.0.0,Mean L1 in medial lemniscus on FA skeleton (left)
f.25210.0.0,Mean L1 in inferior cerebellar peduncle on FA skeleton (right)
f.25211.0.0,Mean L1 in inferior cerebellar peduncle on FA skeleton (left)
f.25212.0.0,Mean L1 in superior cerebellar peduncle on FA skeleton (right)
f.25213.0.0,Mean L1 in superior cerebellar peduncle on FA skeleton (left)
f.25214.0.0,Mean L1 in cerebral peduncle on FA skeleton (right)
f.25215.0.0,Mean L1 in cerebral peduncle on FA skeleton (left)
f.25216.0.0,Mean L1 in anterior limb of internal capsule on FA skeleton (right)
f.25217.0.0,Mean L1 in anterior limb of internal capsule on FA skeleton (left)
f.25218.0.0,Mean L1 in posterior limb of internal capsule on FA skeleton (right)
f.25219.0.0,Mean L1 in posterior limb of internal capsule on FA skeleton (left)
f.25220.0.0,Mean L1 in retrolenticular part of internal capsule on FA skeleton (right)
f.25221.0.0,Mean L1 in retrolenticular part of internal capsule on FA skeleton (left)
f.25222.0.0,Mean L1 in anterior corona radiata on FA skeleton (right)
f.25223.0.0,Mean L1 in anterior corona radiata on FA skeleton (left)
f.25224.0.0,Mean L1 in superior corona radiata on FA skeleton (right)
f.25225.0.0,Mean L1 in superior corona radiata on FA skeleton (left)
f.25226.0.0,Mean L1 in posterior corona radiata on FA skeleton (right)
f.25227.0.0,Mean L1 in posterior corona radiata on FA skeleton (left)
f.25228.0.0,Mean L1 in posterior thalamic radiation on FA skeleton (right)
f.25229.0.0,Mean L1 in posterior thalamic radiation on FA skeleton (left)
f.25230.0.0,Mean L1 in sagittal stratum on FA skeleton (right)
f.25231.0.0,Mean L1 in sagittal stratum on FA skeleton (left)
f.25232.0.0,Mean L1 in external capsule on FA skeleton (right)
f.25233.0.0,Mean L1 in external capsule on FA skeleton (left)
f.25234.0.0,Mean L1 in cingulum cingulate gyrus on FA skeleton (right)
f.25235.0.0,Mean L1 in cingulum cingulate gyrus on FA skeleton (left)
f.25236.0.0,Mean L1 in cingulum hippocampus on FA skeleton (right)
f.25237.0.0,Mean L1 in cingulum hippocampus on FA skeleton (left)
f.25238.0.0,Mean L1 in fornix cres+stria terminalis on FA skeleton (right)
f.25239.0.0,Mean L1 in fornix cres+stria terminalis on FA skeleton (left)
f.25240.0.0,Mean L1 in superior longitudinal fasciculus on FA skeleton (right)
f.25241.0.0,Mean L1 in superior longitudinal fasciculus on FA skeleton (left)
f.25242.0.0,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right)
f.25243.0.0,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (left)
f.25244.0.0,Mean L1 in uncinate fasciculus on FA skeleton (right)
f.25245.0.0,Mean L1 in uncinate fasciculus on FA skeleton (left)
f.25246.0.0,Mean L1 in tapetum on FA skeleton (right)
f.25247.0.0,Mean L1 in tapetum on FA skeleton (left)
f.25248.0.0,Mean L2 in middle cerebellar peduncle on FA skeleton
f.25249.0.0,Mean L2 in pontine crossing tract on FA skeleton
f.25250.0.0,Mean L2 in genu of corpus callosum on FA skeleton
f.25251.0.0,Mean L2 in body of corpus callosum on FA skeleton
f.25252.0.0,Mean L2 in splenium of corpus callosum on FA skeleton
f.25253.0.0,Mean L2 in fornix on FA skeleton
f.25254.0.0,Mean L2 in corticospinal tract on FA skeleton (right)
f.25255.0.0,Mean L2 in corticospinal tract on FA skeleton (left)
f.25256.0.0,Mean L2 in medial lemniscus on FA skeleton (right)
f.25257.0.0,Mean L2 in medial lemniscus on FA skeleton (left)
f.25258.0.0,Mean L2 in inferior cerebellar peduncle on FA skeleton (right)
f.25259.0.0,Mean L2 in inferior cerebellar peduncle on FA skeleton (left)
f.25260.0.0,Mean L2 in superior cerebellar peduncle on FA skeleton (right)
f.25261.0.0,Mean L2 in superior cerebellar peduncle on FA skeleton (left)
f.25262.0.0,Mean L2 in cerebral peduncle on FA skeleton (right)
f.25263.0.0,Mean L2 in cerebral peduncle on FA skeleton (left)
f.25264.0.0,Mean L2 in anterior limb of internal capsule on FA skeleton (right)
f.25265.0.0,Mean L2 in anterior limb of internal capsule on FA skeleton (left)
f.25266.0.0,Mean L2 in posterior limb of internal capsule on FA skeleton (right)
f.25267.0.0,Mean L2 in posterior limb of internal capsule on FA skeleton (left)
f.25268.0.0,Mean L2 in retrolenticular part of internal capsule on FA skeleton (right)
f.25269.0.0,Mean L2 in retrolenticular part of internal capsule on FA skeleton (left)
f.25270.0.0,Mean L2 in anterior corona radiata on FA skeleton (right)
f.25271.0.0,Mean L2 in anterior corona radiata on FA skeleton (left)
f.25272.0.0,Mean L2 in superior corona radiata on FA skeleton (right)
f.25273.0.0,Mean L2 in superior corona radiata on FA skeleton (left)
f.25274.0.0,Mean L2 in posterior corona radiata on FA skeleton (right)
f.25275.0.0,Mean L2 in posterior corona radiata on FA skeleton (left)
f.25276.0.0,Mean L2 in posterior thalamic radiation on FA skeleton (right)
f.25277.0.0,Mean L2 in posterior thalamic radiation on FA skeleton (left)
f.25278.0.0,Mean L2 in sagittal stratum on FA skeleton (right)
f.25279.0.0,Mean L2 in sagittal stratum on FA skeleton (left)
f.25280.0.0,Mean L2 in external capsule on FA skeleton (right)
f.25281.0.0,Mean L2 in external capsule on FA skeleton (left)
f.25282.0.0,Mean L2 in cingulum cingulate gyrus on FA skeleton (right)
f.25283.0.0,Mean L2 in cingulum cingulate gyrus on FA skeleton (left)
f.25284.0.0,Mean L2 in cingulum hippocampus on FA skeleton (right)
f.25285.0.0,Mean L2 in cingulum hippocampus on FA skeleton (left)
f.25286.0.0,Mean L2 in fornix cres+stria terminalis on FA skeleton (right)
f.25287.0.0,Mean L2 in fornix cres+stria terminalis on FA skeleton (left)
f.25288.0.0,Mean L2 in superior longitudinal fasciculus on FA skeleton (right)
f.25289.0.0,Mean L2 in superior longitudinal fasciculus on FA skeleton (left)
f.25290.0.0,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right)
f.25291.0.0,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left)
f.25292.0.0,Mean L2 in uncinate fasciculus on FA skeleton (right)
f.25293.0.0,Mean L2 in uncinate fasciculus on FA skeleton (left)
f.25294.0.0,Mean L2 in tapetum on FA skeleton (right)
f.25295.0.0,Mean L2 in tapetum on FA skeleton (left)
f.25296.0.0,Mean L3 in middle cerebellar peduncle on FA skeleton
f.25297.0.0,Mean L3 in pontine crossing tract on FA skeleton
f.25298.0.0,Mean L3 in genu of corpus callosum on FA skeleton
f.25299.0.0,Mean L3 in body of corpus callosum on FA skeleton
f.25300.0.0,Mean L3 in splenium of corpus callosum on FA skeleton
f.25301.0.0,Mean L3 in fornix on FA skeleton
f.25302.0.0,Mean L3 in corticospinal tract on FA skeleton (right)
f.25303.0.0,Mean L3 in corticospinal tract on FA skeleton (left)
